link,name,Актеры,Время,Год,Жанр,Режиссер,Слоган,Страна
['https://go.utorr.cc/komedia/5163-holop-2-2023.html'],Холоп 2,"Аглая Тарасова,  Милош Бикович,  Иван Охлобыстин,  Александр Самойленко,  Мария Миронова,  Ольга Дибцева,  Наталья Рогожкина,  Олег Комаров,  Софья Зайка,  Сергей Соцердотский",,2023,комедия,Клим Шипенко,,Россия
['https://go.utorr.cc/serial/5141-gdr-serial-2023.html'],ГДР (сериал),"Александр Горбатов,  Александр Голубев,  Евгений Харитонов,  Дарья Урсуляк,  Татьяна Лютаева,  Евгений Кутянин,  Геннадий Блинов,  Александр Обласов,  Виталий Коваленко,  Евгений Санников",50 мин. серия (700 мин. всего),2023,"детектив,  драма",Сергей Попов,"«Когда предают все вокруг, главное — не предать себя»",Россия
['https://go.utorr.cc/mult/5140-tri-bogatyrya-i-pup-zemli-2023.html'],Три богатыря и Пуп Земли,"Олег Куликович,  Валерий Соловьев,  Дмитрий Быковский-Ромашов,  Сергей Маковецкий,  Дмитрий Высоцкий,  Анатолий Петров,  Михаил Черняк,  Алиса Боярская,  Лия Медведева,  Юлия Зоркина",,2023,"мультфильм,  приключения,  семейный",Константин Феоктистов,,Россия
['https://go.utorr.cc/drama/5136-stalnaya-hvatka-2023.html'],Стальная хватка,"Зак Эфрон,  Джереми Аллен Уайт,  Харрис Дикинсон,  Мора Тирни,  Стэнли Саймонс,  Лили Джеймс,  Холт Маккэллани,  Челси Эдмундсон,  Грейди Уилсон,  Валентайн Ньюкомер",,2023,"биография,  спорт,  драма",Шон Дуркин,«Семья. Чемпионы. Легенды»,"США,  Великобритания"
['https://go.utorr.cc/serial/5145-inye-serial-2023.html'],Иные (сериал),"Ирина Мартыненко,  Илья Маланин,  Вольфганг Черни,  Алексей Серебряков,  Линда Лапиньш,  Николай Фоменко,  Евгения Симонова,  Кирилл Нагиев,  Денис Ткачев,  Игорь Усачев",52 мин,2023,"фэнтези,  приключения",Владимир Ракша,,Россия
['https://go.utorr.cc/melodrama/5132-kto-ugodno-krome-tebya-2023.html'],"Кто угодно, кроме тебя","Сидни Суини,  Глен Пауэлл,  Миа Артемис,  Nat Buchanan,  Josh Bonello,  Гата,  Александра Шипп,  Хэдли Робинсон,  Дермот Малруни,  Рэйчел Гриффитс",,2023,"мелодрама,  комедия",Уилл Глак,,"США,  Австралия"
['https://go.utorr.cc/mult/5126-orion-i-tma-2024.html'],Орион и Тьма,"Джейкоб Тремблей,  Айк Баринхолц,  Анджела Бассетт,  Миа Акэми Браун,  Шеннон Чан-Кент,  Мэттью Деллапинья,  Натасия Деметриу,  Нат Факсон,  Карла Гуджино,  Рэн Ханами",,2024,"мультфильм,  фэнтези,  комедия,  детектив,  приключения,  семейный",Шон Чэрмэтц,,"Франция,  США"
['https://go.utorr.cc/boevik/5124-pchelovod01-2024.html'],Пчеловод,"Джейсон Стэйтем,  Эмми Рэвер-Лэмпман,  Бобби Надери,  Джош Хатчерсон,  Джереми Айронс,  Дэвид Уиттс,  Михаэль Эпп,  Тейлор Джеймс,  Филисия Рашад,  Джемма Редгрейв",,2024,"боевик,  триллер",Дэвид Эйр,,"США,  Великобритания"
['https://go.utorr.cc/serial/5121-zolotoe-dno-serial-2024.html'],Золотое дно (сериал),"Алексей Гуськов,  Юлия Снигирь,  Игорь Гордин,  Ростислав Бершауэр,  Наталия Вдовина,  Павел Попов,  Ангелина Пахомова,  Валерий Карпов,  Александр Новин,  Юрий Насонов",55 мин,2024,драма,Илья Ермолов,«Наследники в борьбе за миллиарды»,Россия
['https://go.utorr.cc/boevik/5119-vozdushnoe-ograblenie-2024.html'],Воздушное ограбление,"Кевин Харт,  Гугу Эмбата-Ро,  Сэм Уортингтон,  Винсент Д’Онофрио,  Урсула Корберо,  Билли Магнуссен,  Yun Jee Kim,  Вивеик Калра,  Жан Рено,  Джейкоб Баталон",,2024,"боевик,  триллер,  драма,  комедия,  криминал",Ф. Гэри Грей,,США
['https://go.utorr.cc/mult/5118-migraciya-2023.html'],Миграция,"Кумэйл Нанджиани,  Треси Газаль,  Элизабет Бэнкс,  Каспар Дженнингс,  Изабела Мерсед,  Дэнни ДеВито,  Кэрол Кейн,  Аквафина,  Кигэн-Майкл Ки,  Дэвид Митчелл",,2023,"мультфильм,  приключения,  комедия,  фэнтези","Бенжамин Реннер,  Гейло Хомси",,"США,  Франция,  Канада"
['https://go.utorr.cc/boevik/5116-dogmen-2023.html'],Догмен,"Калеб Лэндри Джонс,  Джоджо Т. Гиббс,  Кристофер Денэм,  Клеменс Шик,  Джон Чарльз Агилар,  Грэйс Пальма,  Ирис Бри,  Мариза Беренсон,  Lincoln Powell,  Alexander Settineri",,2023,боевик,Люк Бессон,«В этом мире можно доверять только собакам»,Франция
['https://go.utorr.cc/serial/5115-igra-smerti-serial-2023.html'],Игра смерти (сериал),"Со Ин-гук,  Пак Со-дам,  Ким Джи-хун,  Ко Юн-джон,  Ким Ми-гён,  Чхве Щи-вон,  Сон Хун,  Ким Ган-хун,  Чан Сын-джо,  Ли Джэ-ук",413 мин. всего,2023,"фэнтези,  драма,  боевик,  криминал,  мелодрама",Ха Бён-хун,,Корея Южная
['https://go.utorr.cc/mult/5114-zavetnoe-zhelanie-2023.html'],Заветное желание,"Ариана ДеБос,  Крис Пайн,  Алан Тьюдик,  Анжелика Кебрал,  Виктор Гарбер,  Наташа Ротуэлл,  Дженнифер Кумияма,  Харви Гильен,  Нико Варгас,  Эван Питерс",,2023,"мультфильм,  мюзикл,  фэнтези,  комедия,  приключения,  семейный","Крис Бак,  Фон Вирасунторн",,США
